/Users/aa557659/BlueNoise/src/Rect.cs(5,15): warning CS1591: Missing XML comment for publicly visible type or member 'Rect' [/Users/aa557659/BlueNoise/PachNoise.csproj]
/Users/aa557659/BlueNoise/src/Rect.cs(7,16): warning CS1591: Missing XML comment for publicly visible type or member 'Rect.xmin' [/Users/aa557659/BlueNoise/PachNoise.csproj]
/Users/aa557659/BlueNoise/src/Rect.cs(8,16): warning CS1591: Missing XML comment for publicly visible type or member 'Rect.xmax' [/Users/aa557659/BlueNoise/PachNoise.csproj]
/Users/aa557659/BlueNoise/src/Rect.cs(9,16): warning CS1591: Missing XML comment for publicly visible type or member 'Rect.ymin' [/Users/aa557659/BlueNoise/PachNoise.csproj]
/Users/aa557659/BlueNoise/src/Rect.cs(10,16): warning CS1591: Missing XML comment for publicly visible type or member 'Rect.ymax' [/Users/aa557659/BlueNoise/PachNoise.csproj]
/Users/aa557659/BlueNoise/src/Rect.cs(12,17): warning CS1591: Missing XML comment for publicly visible type or member 'Rect.Valid' [/Users/aa557659/BlueNoise/PachNoise.csproj]
/Users/aa557659/BlueNoise/src/Rect.cs(14,16): warning CS1591: Missing XML comment for publicly visible type or member 'Rect.Area' [/Users/aa557659/BlueNoise/PachNoise.csproj]
235, 110
246, 462
84, 732
23, 989
219, 1559
246, 1888
242, 2146
64, 2664
154, 2931
236, 3198
126, 3648
43, 3919
221, 4183
185, 5108
217, 5927
243, 6218
238, 6515
45, 6958
248, 7313
186, 7627
494, 124
506, 472
383, 735
372, 1000
489, 1291
507, 1606
509, 1896
335, 2414
494, 2696
442, 3482
470, 3778
493, 4539
341, 4843
291, 5416
477, 5814
344, 6779
464, 7052
759, 45
763, 479
749, 1089
764, 1378
765, 1931
617, 2190
759, 2448
764, 2713
532, 3204
733, 3485
529, 4222
757, 4492
732, 4846
562, 5302
754, 5612
639, 6189
606, 6598
643, 7523
1019, 207
806, 737
1020, 1022
921, 1654
1022, 2026
998, 2999
1019, 3257
1008, 3556
881, 3937
841, 4226
998, 5035
961, 5330
907, 6049
898, 6395
892, 6652
875, 7022
912, 7396
1014, 7669
1214, 473
1136, 732
1252, 1319
1268, 1744
1279, 2029
1063, 2347
1027, 2658
1265, 3716
1239, 4022
1104, 4285
1196, 4709
1257, 5031
1264, 5651
1173, 6123
1167, 6397
1154, 6828
1175, 7097
1195, 7391
1431, 59
1496, 467
1456, 761
1365, 1034
1514, 1381
1532, 1640
1463, 2288
1507, 2546
1427, 2803
1370, 3075
1336, 3411
1528, 3678
1506, 3998
1372, 4279
1469, 4593
1319, 5382
1529, 5664
1430, 6099
1425, 6550
1447, 6906
1456, 7163
1459, 7499
1699, 187
1720, 958
1775, 1244
1708, 1937
1724, 2207
1743, 2968
1645, 3276
1780, 4001
1650, 4330
1732, 4597
1708, 4921
1675, 5319
1778, 6382
1750, 6654
1766, 7422
1764, 7679
1964, 475
2007, 764
1891, 1592
2022, 2021
2016, 2278
1893, 2577
2046, 2971
1910, 3326
1966, 3714
2036, 4025
1989, 4687
2012, 4963
1937, 5370
1899, 5663
1795, 5980
2038, 6295
2035, 6893
1838, 7164
2188, 116
2227, 422
2287, 679
2167, 1050
2261, 1387
2267, 1733
2242, 2548
2213, 3429
2245, 3749
2301, 4006
2092, 4361
2275, 4845
2233, 5573
2178, 5854
2156, 6552
2295, 6815
2157, 7154
2082, 7506
2519, 11
2531, 273
2499, 937
2548, 1254
2451, 1991
2488, 2286
2470, 3032
2502, 3305
2538, 4264
2354, 4523
2537, 4834
2433, 5148
2541, 5545
2526, 5852
2446, 6339
2556, 6597
2512, 7176
2515, 7472
2801, 183
2650, 560
2764, 962
2652, 1726
2810, 2017
2640, 2683
2807, 2953
2760, 3259
2646, 3804
2797, 4069
2612, 4564
2797, 5079
2790, 5932
2795, 6273
2790, 7008
2810, 7276
2907, 476
2972, 1285
3026, 1684
2983, 2407
3026, 2678
3064, 3024
3021, 3364
2916, 3628
3069, 3996
2922, 4407
3009, 4763
3062, 5058
2941, 5582
3066, 5867
3061, 6143
2942, 6683
3062, 6990
3066, 7329
3237, 209
3179, 472
3106, 978
3306, 1234
3288, 1494
3289, 1767
3294, 2061
3304, 2543
3324, 3165
3302, 3438
3315, 4259
3290, 4556
3259, 5355
3323, 5626
3321, 6179
3208, 6575
3181, 7594
3549, 192
3452, 600
3483, 870
3573, 1549
3565, 2011
3568, 2270
3330, 2878
3582, 3282
3373, 3847
3580, 4232
3556, 4540
3345, 4950
3532, 5364
3390, 5913
3579, 6327
3346, 7027
3440, 7407
3463, 7678
3722, 498
3800, 757
3778, 1019
3790, 1290
3832, 1739
3768, 2527
3763, 2787
3781, 3772
3656, 4809
3773, 5092
3833, 5647
3731, 6028
3637, 6775
3730, 7149
3851, 20
4035, 442
4072, 1167
4066, 1442
3930, 2096
4082, 2409
4069, 2691
4037, 3295
4087, 3574
4092, 3830
3890, 4173
4062, 4439
3997, 4726
3845, 5377
4091, 5673
4065, 5955
3899, 6459
4042, 6813
4023, 7127
3878, 7438
4209, 9
4240, 831
4335, 1095
4221, 1903
4343, 2263
4270, 2962
4314, 3238
4344, 3524
4298, 4088
4319, 4345
4321, 4604
4216, 5099
4227, 5356
4348, 5612
4185, 6223
4260, 6534
4321, 7397
4347, 7654
4500, 54
4439, 405
4560, 758
4502, 1590
4545, 1958
4502, 2670
4578, 2946
4445, 3790
4591, 4089
4581, 4761
4492, 5033
4497, 5869
4573, 6143
4580, 6423
4542, 6741
4426, 7005
4588, 7386
4855, 40
4699, 437
4829, 1140
4769, 1446
4836, 1773
4623, 2281
4843, 2542
4773, 3414
4702, 3791
4859, 4049
4813, 4391
4846, 4815
4766, 5112
4691, 5414
4805, 5728
4830, 6040
4853, 6589
4805, 6884
4616, 7653
5112, 28
4970, 330
5064, 587
5059, 843
5091, 1104
5038, 1499
5101, 1825
5061, 2129
5110, 2411
4953, 2960
5117, 3223
5071, 3487
5038, 3769
5087, 4343
5063, 5155
5091, 5472
5088, 6194
5116, 6520
5076, 7361
5058, 7625
5372, 63
5368, 692
5359, 987
5302, 1557
5372, 1840
5330, 2681
5358, 2948
5361, 3764
5325, 4077
5324, 4817
5365, 5117
5264, 5904
5344, 6232
5375, 6541
5238, 6926
5348, 7223
5430, 340
5627, 680
5562, 1494
5630, 1757
5534, 2334
5626, 2807
5576, 3348
5628, 3605
5619, 3875
5588, 4141
5479, 4406
5580, 4735
5626, 4998
5522, 5611
5529, 5877
5596, 6801
5614, 7123
5877, 244
5814, 961
5863, 1250
5804, 2074
5816, 2407
5867, 3072
5837, 3334
5885, 3660
5859, 4256
5860, 4594
5711, 5256
5842, 5522
5791, 5789
5845, 6068
5732, 6329
5863, 6622
5856, 7567
6142, 130
6064, 567
6101, 986
5917, 1538
6131, 1842
6089, 2640
6136, 2919
6021, 3969
6122, 4228
6135, 4537
6101, 4912
5988, 5220
6112, 6075
6028, 6366
6015, 7062
6134, 7416
6113, 7675
6349, 470
6393, 736
6212, 1458
6397, 1731
6224, 2314
6360, 2634
6240, 3401
6367, 3690
6367, 4838
6377, 5108
6280, 5370
6279, 5645
6375, 6086
6329, 6832
6319, 7129
6586, 116
6612, 459
6494, 1098
6581, 1453
6578, 2100
6640, 2485
6640, 3131
6645, 3575
6438, 4183
6434, 4464
6636, 4745
6545, 5446
6486, 6467
6623, 6885
6434, 7434
6899, 53
6869, 867
6879, 1200
6858, 1917
6838, 2196
6904, 2496
6808, 2833
6909, 3318
6737, 3893
6829, 4305
6907, 4584
6733, 5002
6824, 5296
6709, 5903
6745, 6369
6707, 7314
6892, 7611
7101, 414
7150, 670
7128, 943
7135, 1218
6952, 1585
7144, 1876
7116, 2216
7075, 2794
7070, 3055
7104, 3792
7114, 4051
6999, 4856
7081, 5115
7042, 5739
7076, 6075
7126, 6388
6978, 6709
6998, 7098
7003, 7355
7208, 58
7358, 389
7392, 1067
7257, 1490
7419, 2258
7355, 2553
7353, 3384
7392, 3744
7370, 4074
7273, 4502
7384, 4802
7350, 5096
7322, 5493
7335, 5826
7388, 6479
7395, 6902
7345, 7159
7230, 7615
7652, 95
7635, 464
7602, 811
7676, 1157
7541, 1516
7493, 1909
7677, 2191
7677, 2456
7478, 3034
7639, 3302
7627, 4147
7539, 4428
7644, 5000
7622, 5266
7658, 5630
7439, 6168
7668, 6643
7605, 7241
7638, 7509
